中文	繁體	英文	拼音	领域	适用法域	来源地区	类型	来源语境	学习注释	来源记录	条目ID	数据许可	译文审核	中文释义	译法说明	法律依据
大法官书记处	大法官書記處	Department of Clerks for the Justices of the Constitutional Court	da4 fa3 guan1 shu1 ji4 chu4	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:49	tw-judicial-8503b4625e21f78c7ca0	OGDL-Taiwan-1.0	source_attributed			
大法官休息室	大法官休息室	Lounge for the Justices of the Constitutional Court	da4 fa3 guan1 xiu1 xi1 shi4	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:46	tw-judicial-65a8f8d1682cf880595b	OGDL-Taiwan-1.0	source_attributed			
大法官会客室	大法官會客室	Reception Room of the Justices of the Constitutional Court	da4 fa3 guan1 hui4 ke4 shi4	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:50	tw-judicial-66d6db7293105a571a36	OGDL-Taiwan-1.0	source_attributed			
大法官会议室	大法官會議室	Conference Room for the Justices of the Constitutional Court	da4 fa3 guan1 hui4 yi4 shi4	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:51	tw-judicial-075692dbf45ec6c887df	OGDL-Taiwan-1.0	source_attributed			
大法官办公室	大法官辦公室	Office of the Justices of the Constitutional Court	da4 fa3 guan1 ban4 gong1 shi4	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:53	tw-judicial-6a18fad29bdf7701c0cd	OGDL-Taiwan-1.0	source_attributed			
大法官助理	大法官助理	Law Clerk for the Justice of the Constitutional Court	da4 fa3 guan1 zhu4 li3	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:47	tw-judicial-f81d544320631fb11fca	OGDL-Taiwan-1.0	source_attributed			
大法官助理办公室	大法官助理辦公室	Office of the Law Clerks of the Justices of the Constitutional Court	da4 fa3 guan1 zhu4 li3 ban4 gong1 shi4	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:48	tw-judicial-b1b3ad7c6efac8e1cb9b	OGDL-Taiwan-1.0	source_attributed			
大法官图书资料室	大法官圖書資料室	Library of the Justices of the Constitutional Court	da4 fa3 guan1 tu2 shu1 zi1 liao4 shi4	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:52	tw-judicial-f9b1aace1b26d2f1d694	OGDL-Taiwan-1.0	source_attributed			
大法庭	大法庭	Grand Chamber	da4 fa3 ting2	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:54	tw-judicial-12f80fb59999fee469e1	OGDL-Taiwan-1.0	source_attributed			
大礼堂	大禮堂	Auditorium	da4 li3 tang2	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:61	tw-judicial-3f515f2f48ffcaff5f95	OGDL-Taiwan-1.0	source_attributed			
大陆地区人民在台湾定居或居留许可办法	大陸地區人民在台灣定居或居留許可辦法	Regulations Governing Permanent or Temporary Residence Permission for the People from Mainland China	da4 lu4 di4 qu1 ren2 min2 zai4 tai2 wan1 ding4 ju1 huo4 ju1 liu2 xu3 ke3 ban4 fa3	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:55	tw-judicial-f9eb063c458e06a16156	OGDL-Taiwan-1.0	source_attributed			
大陆地区人民进入台湾地区许可办法	大陸地區人民進入台灣地區許可辦法	Regulations Governing the Entry Permission to Taiwan Area for the People from Mainland China	da4 lu4 di4 qu1 ren2 min2 jin4 ru4 tai2 wan1 di4 qu1 xu3 ke3 ban4 fa3	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:56	tw-judicial-cf6f3e281f0835efdea0	OGDL-Taiwan-1.0	source_attributed			
夫妻共同债务	夫妻共同債務	joint marital debt	fu1 qi1 gong4 tong2 zhai4 wu4	family	CN	INTERNATIONAL	term	中华人民共和国民法典（2020）	超出家庭日常生活需要的单方债务原则上不属于共同债务，债权人证明法定例外的除外。	oll-cn-core:cn-marital-joint-debt	cn-marital-joint-debt	CC-BY-4.0	project_authored	依夫妻共同意思表示，或一方为家庭日常生活需要等法定情形所负的夫妻债务。	项目释译，非官方译文；joint marital debt 不等于婚内任何债务。	中华人民共和国民法典（2020） 第1064条 https://www.court.gov.cn/zixun/xiangqing/233181.html
夫妻共同生活	夫妻共同生活	life of matrimonial cohabitation	fu1 qi1 gong4 tong2 sheng1 huo2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:208	tw-judicial-8e6b84580c7d40921420	OGDL-Taiwan-1.0	source_attributed			
夫妻财产制契约登记	夫妻財產制契約登記	Registration of Matrimonial Property Contracts	fu1 qi1 cai2 chan3 zhi4 qi4 yue1 deng1 ji4	contracts	待核查	TW	unclassified	民事廳		tw-judicial:209	tw-judicial-68cba48a66d9ad8ace66	OGDL-Taiwan-1.0	source_attributed			
夫妻财产登记	夫妻財產登記	Registration of Matrimonial Property Contracts	fu1 qi1 cai2 chan3 deng1 ji4	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:210	tw-judicial-6bdaf2066229d6ea93f4	OGDL-Taiwan-1.0	source_attributed			
失踪人	失蹤人	missing person	shi1 zong1 ren2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:335	tw-judicial-e1a47bb0830c80059d30	OGDL-Taiwan-1.0	source_attributed			
头衔、称号	頭銜、稱號	title		intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:557	tw-tipo-trademark-ca12d594a39de3f65a64	OGDL-Taiwan-1.0	source_attributed			
契税条例	契稅條例	Deed Tax Act	qi4 shui4 tiao2 li4	tax	待核查	TW	statute	憲法法庭書記廳		tw-judicial:888	tw-judicial-cf376eb42b563ad9108c	OGDL-Taiwan-1.0	source_attributed			
契约之履行	契約之履行	implements	qi4 yue1 zhi1 lv3 xing2	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:285	tw-tipo-trademark-adb7e7cac60e9327e6bf	OGDL-Taiwan-1.0	source_attributed			
契约当事人	契約當事人	parties of the contract	qi4 yue1 dang1 shi4 ren2	contracts	待核查	TW	role	憲法法庭書記廳		tw-judicial:887	tw-judicial-474eb158adfb8bcf646c	OGDL-Taiwan-1.0	source_attributed			
契约行为	契約行為	act of contract	qi4 yue1 xing2 wei2	contracts	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:886	tw-judicial-da0af60e463591278aed	OGDL-Taiwan-1.0	source_attributed			
奖励保护检举贪污渎职办法	獎勵保護檢舉貪污瀆職辦法	The Anti-Corruption Informant Rewards and Protection Regulation	jiang3 li4 bao3 hu4 jian3 ju3 tan1 wu1 du2 zhi2 ban4 fa3	unclassified	待核查	TW	statute	政風處		tw-judicial:1822	tw-judicial-e491b5e5331d68611938	OGDL-Taiwan-1.0	source_attributed			
奖励投资	獎勵投資	encouragement of investment	jiang3 li4 tou2 zi1	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1819	tw-judicial-cea387c99a1c55f1ec44	OGDL-Taiwan-1.0	source_attributed			
奖励投资条例	獎勵投資條例	Act of Encouragement of Investment	jiang3 li4 tou2 zi1 tiao2 li4	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:1820	tw-judicial-576aa9e8cea20ee82564	OGDL-Taiwan-1.0	source_attributed			
奖励投资条例施行细则	獎勵投資條例施行細則	Enforcement Rules of the Act of Encouragement of Investment	jiang3 li4 tou2 zi1 tiao2 li4 shi1 xing2 xi4 ze2	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:1821	tw-judicial-433d8bded07074b3fa1a	OGDL-Taiwan-1.0	source_attributed			
奖章条例	獎章條例	Medal Award Act	jiang3 zhang1 tiao2 li4	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:1818	tw-judicial-ec60eb3327db8110970c	OGDL-Taiwan-1.0	source_attributed			
女化妆室	女化妝室	Ladies Restroom	nv3 hua4 zhuang1 shi4	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:62	tw-judicial-1e88102278d6077fffee	OGDL-Taiwan-1.0	source_attributed			
如申请人于美国提出申请前，已受让该境外注册之商标，则审查官将撤销该核驳处分。	如申請人於美國提出申請前，已受讓該境外註冊之商標，則審查官將撤銷該核駁處分。	The examining attorney will withdraw the refusal if the applicant proves ownership of the foreign registration by an assignment before the filing in the United States.		intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:44	tw-tipo-trademark-709b8f92d580a52a9b01	OGDL-Taiwan-1.0	source_attributed			
妨害兵役治罪条例	妨害兵役治罪條例	Punishment Act for Violation to Military Service System	fang2 hai4 bing1 yi4 zhi4 zui4 tiao2 li4	criminal	待核查	TW	statute	憲法法庭書記廳		tw-judicial:631	tw-judicial-19f40236ee6c63b84a4e	OGDL-Taiwan-1.0	source_attributed			
妨害国币惩治条例	妨害國幣懲治條例	Penal Act of Offenses Against National Currency	fang2 hai4 guo2 bi4 cheng2 zhi4 tiao2 li4	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:632	tw-judicial-ffa3b7c17cec3e4585e6	OGDL-Taiwan-1.0	source_attributed			
妨碍、阻碍	妨礙、阻礙	hinder (+from)		intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:272	tw-tipo-trademark-9f9e81e585febc12ccc7	OGDL-Taiwan-1.0	source_attributed			
姓名权	姓名權	right of an individual to select one's own name	xing4 ming2 quan2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:717	tw-judicial-b8f19473788d18d59e5f	OGDL-Taiwan-1.0	source_attributed			
姓名条例	姓名條例	Name Act	xing4 ming2 tiao2 li4	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:716	tw-judicial-20b85a95943ba7c2b718	OGDL-Taiwan-1.0	source_attributed			
姓氏	姓氏	surname	xing4 shi4	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:550	tw-tipo-trademark-5412b26337d0545f3967	OGDL-Taiwan-1.0	source_attributed			
委任状	委任狀	POA	wei3 ren4 zhuang4	intellectual_property	待核查	TW	abbreviation	A13070000G		tw-tipo-trademark:412	tw-tipo-trademark-3e422f44018dbbc08c08	OGDL-Taiwan-1.0	source_attributed			
委任状	委任狀	Power of Attorney	wei3 ren4 zhuang4	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:413	tw-tipo-trademark-6d8c40fb87f49641fb42	OGDL-Taiwan-1.0	source_attributed			
委员	委員	Commissioner	wei3 yuan2	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:714	tw-judicial-c954545d168139b5b127	OGDL-Taiwan-1.0	source_attributed			
委员、首长	委員、首長	commissioner		intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:90	tw-tipo-trademark-9df185615afb8044eafd	OGDL-Taiwan-1.0	source_attributed			
委员长	委員長	Chief Commissioner	wei3 yuan2 zhang3	unclassified	待核查	TW	unclassified	行政訴訟及懲戒廳		tw-judicial:715	tw-judicial-004e7f6b13bd3769999f	OGDL-Taiwan-1.0	source_attributed			
委托作品	委託作品	commissioned work	wei3 tuo1 zuo4 pin3	intellectual_property	CN	INTERNATIONAL	term	中华人民共和国著作权法（2020修正）	没有订立合同或未明确约定时，著作权属于受托人。	oll-cn-core:cn-commissioned-work	cn-commissioned-work	CC-BY-4.0	project_authored	受委托而创作的作品，其著作权归属可由委托人与受托人通过合同约定。	项目释译，非官方译文；不按付款者当然拥有著作权理解 commissioned work。	中华人民共和国著作权法（2020修正） 第19条 https://www.ncac.gov.cn/xxfb/flfg/flfg_532/202103/t20210309_50530.html
委托处理	委託處理	entrusted processing of personal information	wei3 tuo1 chu3 li3	privacy	CN	INTERNATIONAL	term	中华人民共和国个人信息保护法（2021）	应约定目的、期限、方式等并进行监督；未经同意，受托人不得转委托。	oll-cn-core:cn-entrusted-processing	cn-entrusted-processing	CC-BY-4.0	project_authored	个人信息处理者将特定处理活动交由受托人按约定实施的安排。	项目释译，非官方译文；本词限定个人信息保护法语境。	中华人民共和国个人信息保护法（2021） 第21条 https://www.cac.gov.cn/2021-08/20/c_1631050028355286.htm
姻亲关系	姻親關係	relationship by affinity	yin1 qin1 guan1 xi4	unclassified	待核查	TW	unclassified	少年及家事廳		tw-judicial:889	tw-judicial-391976c5f1bbd74a6f57	OGDL-Taiwan-1.0	source_attributed			
婚姻	婚姻	marriage	hun1 yin1	family	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1238	tw-judicial-92155e48cf3fa5eb50ab	OGDL-Taiwan-1.0	source_attributed			
婚姻共同生活; 夫妻同居	婚姻共同生活; 夫妻同居	matrimonial cohabitation		family	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1239	tw-judicial-98e0d849acc56e60be4e	OGDL-Taiwan-1.0	source_attributed			
婚姻自由	婚姻自由	freedom of marriage	hun1 yin1 zi4 you2	family	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1240	tw-judicial-a4050359a18918ee78c3	OGDL-Taiwan-1.0	source_attributed			
婚生子	婚生子	legitimate son	hun1 sheng1 zi5	family	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1237	tw-judicial-cf8c88239af44a936a08	OGDL-Taiwan-1.0	source_attributed			
婴儿车、轮椅、老花眼镜	嬰兒車、輪椅、老花眼鏡	Baby Carriages, Wheelchairs and Eyeglasses		unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:1945	tw-judicial-0ffd0546fffabb743d65	OGDL-Taiwan-1.0	source_attributed			
嫌疑犯	嫌疑犯	suspect	xian2 yi2 fan4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1530	tw-judicial-9b9367ce6f0f61b4bed2	OGDL-Taiwan-1.0	source_attributed			
字母与数字符号构成的	字母與數字符號構成的	alphanumeric	zi4 mu3 yu3 shu4 zi4 fu2 hao4 gou4 cheng2 de5	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:24	tw-tipo-trademark-acd4145ff07d04e256a7	OGDL-Taiwan-1.0	source_attributed			
存证信函	存證信函	cease and desist letter	cun2 zheng4 xin4 han2	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:65	tw-tipo-trademark-fb1362daeacc32f51487	OGDL-Taiwan-1.0	source_attributed			
学习司法官室	學習司法官室	Intern Judge Office	xue2 xi2 si1 fa3 guan1 shi4	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:1885	tw-judicial-6a56637af52f366bc42a	OGDL-Taiwan-1.0	source_attributed			
学习律师席	學習律師席	Intern﹙Attorney﹚	xue2 xi2 lv4 shi1 xi2	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:1889	tw-judicial-42c965b407dba2c709ac	OGDL-Taiwan-1.0	source_attributed			
学习法官席	學習法官席	Intern﹙Judge﹚	xue2 xi2 fa3 guan1 xi2	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:1888	tw-judicial-1bca6180fa8e76194ce1	OGDL-Taiwan-1.0	source_attributed			
学习生活技能	學習生活技能	learning living skills	xue2 xi2 sheng1 huo2 ji4 neng2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1886	tw-judicial-4e61c7691c9c2e07610a	OGDL-Taiwan-1.0	source_attributed			
学习自由	學習自由	freedom of study	xue2 xi2 zi4 you2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1887	tw-judicial-cab065a859787b273933	OGDL-Taiwan-1.0	source_attributed			
学位授与法	學位授與法	Act Governing the Conferment of Academic Degree	xue2 wei4 shou4 yu3 fa3	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:1883	tw-judicial-8af6e1bbbfd13decd59c	OGDL-Taiwan-1.0	source_attributed			
学术审议	學術審議	academic performance review	xue2 shu4 shen3 yi4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1892	tw-judicial-bda7a21ea536ba20cc92	OGDL-Taiwan-1.0	source_attributed			
学术自由	學術自由	academic freedom	xue2 shu4 zi4 you2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1890	tw-judicial-c17a19168d439fb85345	OGDL-Taiwan-1.0	source_attributed			
学术自由之制度性保障	學術自由之制度性保障	institutional protection mechanism	xue2 shu4 zi4 you2 zhi1 zhi4 du4 xing4 bao3 zhang4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1891	tw-judicial-7fceff30419fe3d6725a	OGDL-Taiwan-1.0	source_attributed			
学校教职员退休条例	學校教職員退休條例	Statute Governing the Retirement of School Faculty and Staff	xue2 xiao4 jiao4 zhi2 yuan2 tui4 xiu1 tiao2 li4	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:1884	tw-judicial-332742629a2833e32207	OGDL-Taiwan-1.0	source_attributed			
学生惩处	學生懲處	student discipline	xue2 sheng1 cheng2 chu3	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1882	tw-judicial-8aca33cffce5ff5d17f3	OGDL-Taiwan-1.0	source_attributed			
学说、原理	學說、原理	doctrine		intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:165	tw-tipo-trademark-702f78fed73fcb1e2276	OGDL-Taiwan-1.0	source_attributed			
安置辅导	安置輔導	Diversion	an1 zhi4 fu3 dao3	unclassified	待核查	TW	unclassified	少年及家事廳		tw-judicial:497	tw-judicial-9c5a7ab55e2f9efa3f69	OGDL-Taiwan-1.0	source_attributed			
安迁救济金	安遷救濟金	relocation compensation	an1 qian1 jiu4 ji4 jin1	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:498	tw-judicial-2c72b1eb9cb273276b61	OGDL-Taiwan-1.0	source_attributed			
完全民事行为能力	完全民事行爲能力	full capacity for civil juristic acts	wan2 quan2 min2 shi4 xing2 wei2 neng2 li4	civil	CN	INTERNATIONAL	term	中华人民共和国民法典（2020）	成年人原则上具有完全行为能力；以劳动收入为主要生活来源的十六周岁以上未成年人，法律视为具有完全行为能力。	oll-cn-core:cn-full-capacity	cn-full-capacity	CC-BY-4.0	project_authored	能够独立实施民事法律行为的行为能力。	项目释译，非官方译文；这里的 capacity 是法律行为能力，不是身体或工作能力。	中华人民共和国民法典（2020） 第18条 https://www.court.gov.cn/zixun/xiangqing/233181.html
完税价格	完稅價格	duty-paying value	wan2 shui4 jia4 ge2	tax	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:633	tw-judicial-bccdc15fb45f391daaa7	OGDL-Taiwan-1.0	source_attributed			
宗教信仰自由	宗教信仰自由	freedom of religious belief	zong1 jiao4 xin4 yang3 zi4 you2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:718	tw-judicial-26fe183a0a0622117b8f	OGDL-Taiwan-1.0	source_attributed			
宗教团体	宗教團體	religious organizations	zong1 jiao4 tuan2 ti3	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:719	tw-judicial-d974c99c041447444bb7	OGDL-Taiwan-1.0	source_attributed			
官吏	官吏	civil servants; government employees; public functionaries; public servants	guan1 li4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:721	tw-judicial-f59b0f7ed23440a006d6	OGDL-Taiwan-1.0	source_attributed			
定期改选	定期改選	periodical re-election	ding4 qi1 gai3 xuan3	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:720	tw-judicial-cf14b789eb30cb7f9ea3	OGDL-Taiwan-1.0	source_attributed			
定金	定金	earnest money securing performance	ding4 jin1	contracts	CN	INTERNATIONAL	term	中华人民共和国民法典（2020）	有效定金部分不得超过主合同标的额的百分之二十；违约效果须结合是否不能实现合同目的判断。	oll-cn-core:cn-earnest-money	cn-earnest-money	CC-BY-4.0	project_authored	当事人实际交付、用于担保债权并适用法定定金效果的款项。	项目释译，非官方译文；本条对应定金，不将普通预付款或订金自动纳入该制度。	中华人民共和国民法典（2020） 第586,587条 https://www.court.gov.cn/zixun/xiangqing/233181.html
实任检察官	實任檢察官	commissioned prosecutor	shi2 ren4 jian3 cha2 guan1	criminal	待核查	TW	role	憲法法庭書記廳		tw-judicial:1640	tw-judicial-403e9f6d5eb1b36122d4	OGDL-Taiwan-1.0	source_attributed			
实体、存在、本质	實體、存在、本質	entities		intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:185	tw-tipo-trademark-48abef0b86fbc2ef7e60	OGDL-Taiwan-1.0	source_attributed			
实体核驳	實體核駁	substantive refusal	shi2 ti3 he2 bo2	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:544	tw-tipo-trademark-48ce13fa435a7054fe73	OGDL-Taiwan-1.0	source_attributed			
实施的、经营管理的	實施的、經營管理的	executive		intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:206	tw-tipo-trademark-a9ee1b560c212e408fcf	OGDL-Taiwan-1.0	source_attributed			
实施耕者有其田条例	實施耕者有其田條例	Land-to-the-Tiller Act	shi2 shi1 geng1 zhe3 you3 qi2 tian2 tiao2 li4	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:1641	tw-judicial-f94e352914cf3515df83	OGDL-Taiwan-1.0	source_attributed			
实现自我	實現自我	self-realization	shi2 xian4 zi4 wo3	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1642	tw-judicial-d531a68349c21132ac83	OGDL-Taiwan-1.0	source_attributed			
实用功能	實用功能	utilitarian function	shi2 yong4 gong1 neng2	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:596	tw-tipo-trademark-23fd5c103fb4dd2b9ca2	OGDL-Taiwan-1.0	source_attributed			
实用的	實用的	utilitarian	shi2 yong4 de5	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:595	tw-tipo-trademark-ccf0705b4c9fad70ad48	OGDL-Taiwan-1.0	source_attributed			
实质上明确的表现（具商标同一性的意思）	實質上明確的表現（具商標同一性的意思）	Substantially exact representation		intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:543	tw-tipo-trademark-c87abc64ccb729071467	OGDL-Taiwan-1.0	source_attributed			
实质变更（指重要事项之变更）	實質變更（指重要事項之變更）	material alteration		intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:353	tw-tipo-trademark-7c97c40ef58430589bda	OGDL-Taiwan-1.0	source_attributed			
实际控制人	實際控制人	actual controller	shi2 ji4 kong4 zhi4 ren2	company	CN	INTERNATIONAL	role	中华人民共和国公司法（2023修订）	判断核心是实际支配能力，不能仅凭登记的股东名单判断。	oll-cn-core:cn-actual-controller	cn-actual-controller	CC-BY-4.0	project_authored	通过投资关系、协议或者其他安排能够实际支配公司行为的人。	项目释译，非官方译文；与 controlling shareholder 分开标注。	中华人民共和国公司法（2023修订） 第265条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5233383/content.html
实际的、事实上的、现实的	實際的、事實上的、現實的	actual		intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:10	tw-tipo-trademark-59d66c755dc0196864d8	OGDL-Taiwan-1.0	source_attributed			
实际的日期	實際的日期	actual date	shi2 ji4 de5 ri4 qi1	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:11	tw-tipo-trademark-c9f89d424abc351a49ce	OGDL-Taiwan-1.0	source_attributed			
实际的混淆	實際的混淆	actual confusion	shi2 ji4 de5 hun4 xiao2	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:13	tw-tipo-trademark-d7628f575e71797bf445	OGDL-Taiwan-1.0	source_attributed			
审判事务	審判事務	judicial affairs	shen3 pan4 shi4 wu4	dispute_resolution	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1781	tw-judicial-52f9696ad567a1eb67dd	OGDL-Taiwan-1.0	source_attributed			
审判地法、法院地法	審判地法、法院地法	lexi fori		dispute_resolution	待核查	TW	statute	憲法法庭書記廳		tw-judicial:1780	tw-judicial-a652d0c09851ce8d6db4	OGDL-Taiwan-1.0	source_attributed			
审判或追诉职务	審判或追訴職務	duty of trial or prosecution	shen3 pan4 huo4 zhui1 su4 zhi2 wu4	dispute_resolution	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1782	tw-judicial-def51749b11c72e69c53	OGDL-Taiwan-1.0	source_attributed			
审判机关	審判機關	adjudicative body; adjudicative body	shen3 pan4 ji1 guan1	dispute_resolution	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1785	tw-judicial-27bf7a0a6447c9d2910b	OGDL-Taiwan-1.0	source_attributed			
审判权	審判權	jurisdiction	shen3 pan4 quan2	dispute_resolution	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1787	tw-judicial-176aa7699318fd89eb87	OGDL-Taiwan-1.0	source_attributed			
审判权划分	審判權劃分	division of the power of adjudication	shen3 pan4 quan2 hua4 fen1	dispute_resolution	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1788	tw-judicial-38a79522333c34ff6639	OGDL-Taiwan-1.0	source_attributed			
审判独立	審判獨立	judicial independence	shen3 pan4 du2 li4	dispute_resolution	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1786	tw-judicial-a30ffb37b68edf93c7d6	OGDL-Taiwan-1.0	source_attributed			
审判长	審判長	presiding judge	shen3 pan4 zhang3	dispute_resolution	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1783	tw-judicial-fc14e3f319279a0cec55	OGDL-Taiwan-1.0	source_attributed			
审判长席	審判長席	Presiding Judge	shen3 pan4 zhang3 xi2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1784	tw-judicial-52301ee4bb6523cf548c	OGDL-Taiwan-1.0	source_attributed			
审前调查	審前調查	Predisposition Investigation （Preliminary investigation ）	shen3 qian2 diao4 cha2	unclassified	待核查	TW	unclassified	少年及家事廳		tw-judicial:1789	tw-judicial-cbefe44119f6c0f29d61	OGDL-Taiwan-1.0	source_attributed			
审查	審查	examination	shen3 cha2	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:202	tw-tipo-trademark-4fef1412f1891ba882cd	OGDL-Taiwan-1.0	source_attributed			
审查中的申请案	審查中的申請案	pending applications	shen3 cha2 zhong1 de5 shen1 qing3 an4	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:403	tw-tipo-trademark-779c0621ac4745c8846e	OGDL-Taiwan-1.0	source_attributed			
审查官付诸新的行政处置告知申请人因其申请无效而予以驳回。	審查官付諸新的行政處置告知申請人因其申請無效而予以駁回。	The examining attorney should issue a new action advising the applicant that the application is refused because it was void as filed.		intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:329	tw-tipo-trademark-22ffbfe9b3b51dbf26c9	OGDL-Taiwan-1.0	source_attributed			
审查律师	審查律師	Examining Attorney	shen3 cha2 lv4 shi1	intellectual_property	待核查	TW	role	A13070000G		tw-tipo-trademark:203	tw-tipo-trademark-8b7686b6998eba188533	OGDL-Taiwan-1.0	source_attributed			
审查科	審查科	Screening Section	shen3 cha2 ke1	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:1790	tw-judicial-467226260f1d48bd4c03	OGDL-Taiwan-1.0	source_attributed			
审核	審核	review	shen3 he2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1798	tw-judicial-62bcb3be1307cfb0559f	OGDL-Taiwan-1.0	source_attributed			
审核报告	審核報告	audit reports	shen3 he2 bao4 gao4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1799	tw-judicial-d2c5ae76e60b13f92b50	OGDL-Taiwan-1.0	source_attributed			
